Rank,Title,Rating,Genre,Members,Type,# of Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
Ranked #227,Tsubasa: Tokyo Revelations,8.3,"Genres: Action, Adventure, Drama, Romance, Fantasy, Shounen","Members 84,974",Type: OVA,Episodes: 3,Licensors: Funimation,Studios: Production I.G,Source: Manga,Duration: 30 min. per ep.,Null,Favorites: 795
Ranked #228,Bakemono no Ko,8.3,"Genres: Adventure, Supernatural","Members 336,036",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: Studio Chizu,Source: Original,Duration: 1 hr. 59 min.,Null,"Favorites: 2,640"
Ranked #229,Detective Conan Movie 06: The Phantom of Baker Street,8.3,"Genres: Adventure, Mystery, Police, Shounen","Members 63,387",Type: Movie,Episodes: 1,Licensors: Funimation,Studios: TMS Entertainment,Source: Manga,Duration: 1 hr. 47 min.,Null,Favorites: 189
Ranked #230,Kawaki wo Ameku,8.3,Genres: Music,"Members 20,238",Type: Music,Episodes: 1,"Licensors: None found, add some","Studios: None found, add some",Source: Music,Duration: 4 min.,Null,Favorites: 181
Ranked #231,Kono Subarashii Sekai ni Shukufuku wo! 2,8.3,"Genres: Adventure, Comedy, Parody, Supernatural, Fantasy","Members 1,138,724",Type: TV,Episodes: 10,Licensors: Discotek Media,Studios: Studio Deen,Source: Light novel,Duration: 23 min. per ep.,Premiered: Winter 2017,"Favorites: 10,307"
Ranked #232,Hibike! Euphonium 2,8.29,"Genres: Music, Drama, School","Members 179,864",Type: TV,Episodes: 13,Licensors: Ponycan USA,Studios: Kyoto Animation,Source: Novel,Duration: 23 min. per ep.,Premiered: Fall 2016,"Favorites: 2,698"
Ranked #233,Initial D First Stage,8.29,"Genres: Action, Cars, Drama, Seinen, Sports","Members 261,103",Type: TV,Episodes: 26,"Licensors: Funimation, Tokyopop","Studios: Gallop, Studio Comet",Source: Manga,Duration: 25 min. per ep.,Premiered: Spring 1998,"Favorites: 7,589"
Ranked #234,Koukaku Kidoutai,8.29,"Genres: Action, Mecha, Police, Psychological, Sci-Fi, Seinen","Members 502,185",Type: Movie,Episodes: 1,Licensors: Manga Entertainment,Studios: Production I.G,Source: Manga,Duration: 1 hr. 22 min.,Null,"Favorites: 10,009"
Ranked #235,Redline,8.29,"Genres: Action, Sci-Fi, Cars, Sports","Members 288,743",Type: Movie,Episodes: 1,Licensors: Anchor Bay Films,Studios: Madhouse,Source: Original,Duration: 1 hr. 42 min.,Null,"Favorites: 4,153"
Ranked #236,Tokyo Godfathers,8.29,"Genres: Comedy, Drama","Members 217,555",Type: Movie,Episodes: 1,"Licensors: Sony Pictures Entertainment, GKIDS",Studios: Madhouse,Source: Original,Duration: 1 hr. 32 min.,Null,"Favorites: 1,723"
Ranked #237,Quanzhi Gaoshou Specials,8.28,"Genres: Action, Game","Members 86,226",Type: ONA,Episodes: 3,"Licensors: None found, add some","Studios: Tencent Animation & Comics, China Literature Limited, Colored Pencil Animation",Source: Novel,Duration: 27 min. per ep.,Null,Favorites: 318
